purposeid,purposename,areacode,survey_year,trip_duration,trip_distance
-1,Missing,25060,2009,0,0
-1,Missing,27350,2009,0,0
-1,Missing,26350,2009,0,0
-1,Missing,21180,2009,0,0
-1,Missing,25710,2009,0,0
-1,Missing,22830,2009,0,0
-1,Missing,21890,2009,0,0
-1,Missing,22170,2009,0,0
-1,Missing,21110,2009,0,0
-1,Missing,25900,2009,0,0
-1,Missing,23430,2009,0,0
-1,Missing,21610,2009,0,0
-1,Missing,24330,2009,0,0
-1,Missing,24970,2009,0,0
-1,Missing,23670,2009,0,0
-1,Missing,27260,2009,0,0
-1,Missing,22620,2009,0,0
-1,Missing,24650,2009,0,0
-1,Missing,23810,2009,0,0
-1,Missing,27450,2009,0,0
-1,Missing,24410,2009,0,0
-1,Missing,22310,2009,0,0
-1,Missing,20570,2009,0,0
-1,Missing,21450,2009,0,0
-1,Missing,25340,2009,0,0
-1,Missing,20660,2009,0,0
-1,Missing,26980,2009,0,0
-1,Missing,23270,2009,0,0
-1,Missing,24210,2009,0,0
-1,Missing,23110,2009,0,0
-1,Missing,22670,2009,0,0
-1,Missing,25250,2009,0,0
-1,Missing,20910,2009,0,0
-1,Missing,24600,2009,0,0
-1,Missing,22750,2009,0,0
-1,Missing,27070,2009,0,0
1,Change Mode,20570,2009,0,14032.08
1,Change Mode,20660,2009,0,11494.99
1,Change Mode,20910,2009,0,2096.07
1,Change Mode,21110,2009,19590,34580.02
1,Change Mode,21180,2009,0,0
1,Change Mode,21450,2009,0,10668.95
1,Change Mode,21610,2009,24633,59308.27
1,Change Mode,21890,2009,3460.8,14784.68
1,Change Mode,22170,2009,0,5646.3
1,Change Mode,22310,2009,0,8231.5
1,Change Mode,22620,2009,0,12568.72
1,Change Mode,22670,2009,0,0
1,Change Mode,22750,2009,0,17978.7
1,Change Mode,22830,2009,0,300.05
1,Change Mode,23110,2009,0,2777.2
1,Change Mode,23270,2009,0,0
1,Change Mode,23430,2009,5859,15703.38
1,Change Mode,23670,2009,0,9436.01
1,Change Mode,23810,2009,0,15405.33
1,Change Mode,24210,2009,0,1221.09
1,Change Mode,24330,2009,0,4669.21
1,Change Mode,24410,2009,0,0
1,Change Mode,24600,2009,3900,7309.27
1,Change Mode,24650,2009,23660,14248.93
1,Change Mode,24970,2009,0,20810.27
1,Change Mode,25060,2009,7248,2913.7
1,Change Mode,25250,2009,0,4404.74
1,Change Mode,25340,2009,0,13983.78
1,Change Mode,25710,2009,0,0
1,Change Mode,25900,2009,0,4091.17
1,Change Mode,26350,2009,706.5,7821.62
1,Change Mode,26980,2009,26316,49601.47
1,Change Mode,27070,2009,0,0
1,Change Mode,27260,2009,0,0
1,Change Mode,27350,2009,0,12589.73
1,Change Mode,27450,2009,3232,10168.68
2,Accompany Someone,20570,2009,1315961.6,177723.05
2,Accompany Someone,20660,2009,2049269,234871.59
2,Accompany Someone,20910,2009,1589381.7,123083.13
2,Accompany Someone,21110,2009,2761398.5,255042.16
2,Accompany Someone,21180,2009,2465523.3,272422.38
2,Accompany Someone,21450,2009,1098083.4,188147.59
2,Accompany Someone,21610,2009,4128736.9,467785.57
2,Accompany Someone,21890,2009,1861689.8,182254.5
2,Accompany Someone,22170,2009,1706147.4,278962.09
2,Accompany Someone,22310,2009,1984240.8,199092.67
2,Accompany Someone,22620,2009,1102802.2,248519.2
2,Accompany Someone,22670,2009,1444916.5,190941.01
2,Accompany Someone,22750,2009,3237985,512325.12
2,Accompany Someone,22830,2009,977487.7,168334.07
2,Accompany Someone,23110,2009,1837002.6,256167.87
2,Accompany Someone,23270,2009,1954983.2,377070.53
2,Accompany Someone,23430,2009,1754049.1,194466.65
2,Accompany Someone,23670,2009,2050278.8,312500.47
2,Accompany Someone,23810,2009,948099.3,208916.38
2,Accompany Someone,24210,2009,1688955.5,231369.76
2,Accompany Someone,24330,2009,805715.9,104193.37
2,Accompany Someone,24410,2009,1776785.7,209161.87
2,Accompany Someone,24600,2009,403329.6,43247.43
2,Accompany Someone,24650,2009,2024588.7,325617.22
2,Accompany Someone,24970,2009,2240235,287475.05
2,Accompany Someone,25060,2009,1186150.9,140426.74
2,Accompany Someone,25250,2009,1967330.6,234136.3
2,Accompany Someone,25340,2009,1457841.4,300349.78
2,Accompany Someone,25710,2009,1096247.6,167574.75
2,Accompany Someone,25900,2009,756779.3,137040.36
2,Accompany Someone,26350,2009,1211189.6,110273.8
2,Accompany Someone,26980,2009,2225582.3,204807.95
2,Accompany Someone,27070,2009,1682975.5,280533.19
2,Accompany Someone,27260,2009,2606139.9,336969.89
2,Accompany Someone,27350,2009,718685.6,39366.34
2,Accompany Someone,27450,2009,2737453.9,420393.21
3,Buy Something,20570,2009,1852749.7,307542.65
3,Buy Something,20660,2009,3266492.1,372972.95
3,Buy Something,20910,2009,2291921,304655.53
3,Buy Something,21110,2009,3849415.2,347579.31
3,Buy Something,21180,2009,3680982.9,463310.69
3,Buy Something,21450,2009,1466769.4,340677.98
3,Buy Something,21610,2009,4519429.5,769994.39
3,Buy Something,21890,2009,3348177,304093.52
3,Buy Something,22170,2009,2491821.8,338458.65
3,Buy Something,22310,2009,3374939.4,290331.64
3,Buy Something,22620,2009,1840510.2,355632.51
3,Buy Something,22670,2009,2301578.7,315622.65
3,Buy Something,22750,2009,4673677.7,736188.51
3,Buy Something,22830,2009,1063937.4,207274.52
3,Buy Something,23110,2009,1483856.7,207010.39
3,Buy Something,23270,2009,1941702.2,315451.29
3,Buy Something,23430,2009,3438327.3,426011.14
3,Buy Something,23670,2009,3537519.5,371649.47
3,Buy Something,23810,2009,1249855.3,333959.58
3,Buy Something,24210,2009,3420094.6,402497.95
3,Buy Something,24330,2009,1205156.3,109411.61
3,Buy Something,24410,2009,2188752.8,222392.09
3,Buy Something,24600,2009,913147.1,99918.51
3,Buy Something,24650,2009,1730744.9,257937.06
3,Buy Something,24970,2009,4285054.2,494315.82
3,Buy Something,25060,2009,2486951.8,223251.55
3,Buy Something,25250,2009,3039043.6,274390.4
3,Buy Something,25340,2009,3099180.1,620164.51
3,Buy Something,25710,2009,1509754.5,273091.82
3,Buy Something,25900,2009,1564900.7,144403.2
3,Buy Something,26350,2009,1844978.3,177252.39
3,Buy Something,26980,2009,3317801.6,409875.84
3,Buy Something,27070,2009,2527600.3,385390.86
3,Buy Something,27260,2009,2625278.4,343132.02
3,Buy Something,27350,2009,1869439.8,123834.73
3,Buy Something,27450,2009,2836307.5,479758.4
4,Pickup/Dropoff Someone,20570,2009,743344.3,146078.45
4,Pickup/Dropoff Someone,20660,2009,1027423.3,239951.71
4,Pickup/Dropoff Someone,20910,2009,784913.7,153338.45
4,Pickup/Dropoff Someone,21110,2009,1142651.8,211529.63
4,Pickup/Dropoff Someone,21180,2009,1754353.5,250137.95
4,Pickup/Dropoff Someone,21450,2009,717348.8,147168.14
4,Pickup/Dropoff Someone,21610,2009,2741649.7,483230.7
4,Pickup/Dropoff Someone,21890,2009,749267.3,129008.9
4,Pickup/Dropoff Someone,22170,2009,997081.8,244609.79
4,Pickup/Dropoff Someone,22310,2009,1175235.9,177047.9
4,Pickup/Dropoff Someone,22620,2009,803634.4,180276.85
4,Pickup/Dropoff Someone,22670,2009,1073237,194413.43
4,Pickup/Dropoff Someone,22750,2009,1682445,428844.94
4,Pickup/Dropoff Someone,22830,2009,379032.4,120223.69
4,Pickup/Dropoff Someone,23110,2009,1102684.4,118675.87
4,Pickup/Dropoff Someone,23270,2009,1225900.6,263167.55
4,Pickup/Dropoff Someone,23430,2009,1029801.8,221195.87
