modeid,modename,areacode,survey_year,trip_duration,trip_distance
-1,Missing,25060,2009,0,2075503.69
-1,Missing,27350,2009,0,927389.74
-1,Missing,26350,2009,0,1477108.72
-1,Missing,21180,2009,0,2821090.05
-1,Missing,25710,2009,0,2176387.06
-1,Missing,22830,2009,0,1939919.01
-1,Missing,21890,2009,0,1623592.47
-1,Missing,22170,2009,0,3007070.22
-1,Missing,21110,2009,0,3067581.69
-1,Missing,25900,2009,0,1212602.37
-1,Missing,23430,2009,0,2825916.65
-1,Missing,21610,2009,0,6066200.58
-1,Missing,24330,2009,0,989487.27
-1,Missing,24970,2009,0,3062161.23
-1,Missing,23670,2009,0,3786781.78
-1,Missing,27260,2009,0,3467252.91
-1,Missing,22620,2009,0,2461102.67
-1,Missing,24650,2009,0,2389530.3
-1,Missing,23810,2009,0,2109745.33
-1,Missing,27450,2009,0,4050097.49
-1,Missing,24410,2009,0,2088754.96
-1,Missing,22310,2009,0,2169265.56
-1,Missing,20570,2009,0,2019968.2
-1,Missing,21450,2009,0,2313599.02
-1,Missing,25340,2009,0,3854924.17
-1,Missing,20660,2009,0,2565181.3
-1,Missing,26980,2009,0,3479652.91
-1,Missing,23270,2009,0,3576491.38
-1,Missing,24210,2009,0,2742837.08
-1,Missing,23110,2009,0,2037203.71
-1,Missing,22670,2009,0,2143040.28
-1,Missing,25250,2009,0,2352630.21
-1,Missing,20910,2009,0,1606801.9
-1,Missing,24600,2009,0,689808.87
-1,Missing,22750,2009,0,5544427.88
-1,Missing,27070,2009,0,3085416
1,Vehicle Driver,25060,2009,2875090.9,1411274.2
1,Vehicle Driver,27350,2009,1531655.8,661388.17
1,Vehicle Driver,26350,2009,2167906.3,905637.63
1,Vehicle Driver,21180,2009,3790872.9,1855762.13
1,Vehicle Driver,25710,2009,2547194.9,1407633.25
1,Vehicle Driver,22830,2009,1540294.2,1175245.69
1,Vehicle Driver,21890,2009,2634489.7,1035833.88
1,Vehicle Driver,22170,2009,3497851.2,2083696.99
1,Vehicle Driver,21110,2009,4605487.2,1993386.2
1,Vehicle Driver,25900,2009,1893302.5,809881.64
1,Vehicle Driver,23430,2009,3797062.7,1865969.24
1,Vehicle Driver,21610,2009,6648481.7,4067973.89
1,Vehicle Driver,24330,2009,1497260.5,649781.92
1,Vehicle Driver,24970,2009,4325623.5,2043379.76
1,Vehicle Driver,23670,2009,4761915.9,2501023.24
1,Vehicle Driver,27260,2009,3973492.4,2366867.12
1,Vehicle Driver,22620,2009,2277368.7,1519925.54
1,Vehicle Driver,24650,2009,2700393.5,1659817.06
1,Vehicle Driver,23810,2009,1734813.7,1377166.47
1,Vehicle Driver,27450,2009,5086597.4,3030244.89
1,Vehicle Driver,24410,2009,2718883.2,1415736.46
1,Vehicle Driver,22310,2009,3536632.5,1497091.64
1,Vehicle Driver,20570,2009,1998924.2,1225833.86
1,Vehicle Driver,21450,2009,2114493.7,1566718.74
1,Vehicle Driver,25340,2009,4268347.2,2886857.04
